id,category,text,emotion,style,pace,volume,prosody,tone,formality,medium,pitch,intensity,energy_scale,scenario
VT-19229,addresses_generic,"Heads up: Unit B, second floor, back entrance. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-34003,addresses_generic,Reminder: Use the service elevator—freight only. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-97243,addresses_generic,"Unit B, second floor, back entrance.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-28307,addresses_generic,Reminder: Deliver to the northeast loading dock. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-96273,addresses_generic,"Heads up: Mail it care of John Doe, PO Box 1029. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-36928,addresses_generic,"Reminder: The ZIP code is 60614, not 60641. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-62759,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield. For real.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-19229,addresses_generic,"Heads up: Unit B, second floor, back entrance. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-26474,addresses_generic,"FYI, The ZIP code is 60614, not 60641. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-91844,addresses_generic,"FYI, Deliver to the northeast loading dock.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-31347,addresses_generic,Heads up: Corner house with the red door.—copy.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-75967,addresses_generic,"Okay, Mail it care of John Doe, PO Box 1029.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-61275,addresses_generic,Heads up: Use the service elevator—freight only. For real.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69234,addresses_generic,"Hey, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
